;fixture_id;date;season;league_id;league_name;league_logo;country_name;country_logo;home_team_id;home_team_name;home_team_img;away_team_id;away_team_name;away_team_img;home_goals;away_goals;home_shots_on_goal;home_shots_off_goal;home_total_shots;home_blocked_shots;home_shots_insidebox;home_shots_outsidebox;home_fouls;home_corner_kicks;home_offsides;home_ball_possession;home_yellow_cards;home_red_cards;home_goalkeeper_saves;home_total_passes;home_passes_accurate;home_passes_percentage;away_shots_on_goal;away_shots_off_goal;away_total_shots;away_blocked_shots;away_shots_insidebox;away_shots_outsidebox;away_fouls;away_corner_kicks;away_offsides;away_ball_possession;away_yellow_cards;away_red_cards;away_goalkeeper_saves;away_total_passes;away_passes_accurate;away_passes_percentage
0;203337;2015-08-21T18:30:00+00:00;2015;140;La Liga;https://media-3.api-sports.io/football/leagues/140.png;Spain;2015;535;Malaga;https://media-3.api-sports.io/football/teams/535.png;536;Sevilla;https://media-2.api-sports.io/football/teams/536.png;0;0;5;13;25;7;9;16;;7;1;57%;3;;2;374;298;80%;2;7;10;1;8;2;;2;3;43%;5;1;4;283;207;73%
1;203338;2015-08-22T16:30:00+00:00;2015;140;La Liga;https://media-2.api-sports.io/football/leagues/140.png;Spain;2015;540;Espanyol;https://media-3.api-sports.io/football/teams/540.png;546;Getafe;https://media-2.api-sports.io/football/teams/546.png;1;0;2;2;5;1;3;2;;4;5;33%;2;;2;263;174;66%;3;7;13;3;5;8;;6;2;67%;5;1;1;519;434;84%
2;203339;2015-08-22T16:30:00+00:00;2015;140;La Liga;https://media-1.api-sports.io/football/leagues/140.png;Spain;2015;544;Deportivo La Coruna;https://media-1.api-sports.io/football/teams/544.png;548;Real Sociedad;https://media-2.api-sports.io/football/teams/548.png;0;0;5;6;16;5;3;13;;5;2;56%;3;;2;470;375;80%;2;1;9;6;6;3;;4;2;44%;2;;5;350;248;71%
3;203340;2015-08-22T18:30:00+00:00;2015;140;La Liga;https://media-3.api-sports.io/football/leagues/140.png;Spain;2015;530;Atletico Madrid;https://media-3.api-sports.io/football/teams/530.png;534;Las Palmas;https://media-1.api-sports.io/football/teams/534.png;1;0;3;8;14;3;7;7;;4;;61%;2;;1;614;516;84%;1;4;8;3;5;3;;4;;39%;;;2;390;287;74%
4;203341;2015-08-22T20:30:00+00:00;2015;140;La Liga;https://media-3.api-sports.io/football/leagues/140.png;Spain;2015;728;Rayo Vallecano;https://media-2.api-sports.io/football/teams/728.png;532;Valencia;https://media-3.api-sports.io/football/teams/532.png;0;0;3;2;8;3;1;7;;3;;56%;3;;4;433;331;76%;4;4;10;2;7;3;;3;1;44%;1;;3;332;230;69%
5;203342;2015-08-23T16:30:00+00:00;2015;140;La Liga;https://media-3.api-sports.io/football/leagues/140.png;Spain;2015;531;Athletic Club;https://media-2.api-sports.io/football/teams/531.png;529;Barcelona;https://media-1.api-sports.io/football/teams/529.png;0;1;2;3;8;3;5;3;;2;4;32%;3;;3;319;195;61%;4;3;10;3;7;3;;4;4;68%;3;;2;674;544;81%
6;203343;2015-08-23T18:30:00+00:00;2015;140;La Liga;https://media-2.api-sports.io/football/leagues/140.png;Spain;2015;731;Sporting Gijon;https://media-2.api-sports.io/football/teams/731.png;541;Real Madrid;https://media-2.api-sports.io/football/teams/541.png;0;0;;4;6;2;4;2;;2;2;32%;4;;8;305;205;67%;8;14;27;5;12;15;;5;1;68%;;;;639;555;87%
7;203344;2015-08-23T20:00:00+00:00;2015;140;La Liga;https://media-1.api-sports.io/football/leagues/140.png;Spain;2015;539;Levante;https://media-1.api-sports.io/football/teams/539.png;538;Celta Vigo;https://media-2.api-sports.io/football/teams/538.png;1;2;2;7;11;2;3;8;;4;;29%;1;1;4;257;175;68%;6;6;15;3;8;7;;6;;71%;3;;1;658;575;87%
8;203345;2015-08-23T20:30:00+00:00;2015;140;La Liga;https://media-2.api-sports.io/football/leagues/140.png;Spain;2015;543;Real Betis;https://media-3.api-sports.io/football/teams/543.png;533;Villarreal;https://media-1.api-sports.io/football/teams/533.png;1;1;6;13;22;3;9;13;;7;1;65%;3;;2;396;310;78%;4;4;8;;7;1;;5;2;35%;1;1;5;216;133;62%
9;203346;2015-08-24T18:30:00+00:00;2015;140;La Liga;https://media-1.api-sports.io/football/leagues/140.png;Spain;2015;715;Granada CF;https://media-1.api-sports.io/football/teams/715.png;545;Eibar;https://media-2.api-sports.io/football/teams/545.png;1;3;6;5;12;1;6;6;;6;1;57%;1;1;1;453;349;77%;4;4;10;2;8;2;;5;3;43%;6;;5;334;238;71%
10;203347;2015-08-28T18:30:00+00:00;2015;140;La Liga;https://media-3.api-sports.io/football/leagues/140.png;Spain;2015;533;Villarreal;https://media-1.api-sports.io/football/teams/533.png;540;Espanyol;https://media-1.api-sports.io/football/teams/540.png;3;1;4;8;14;2;6;8;;2;5;57%;1;;2;472;374;79%;3;2;5;;5;;;3;1;43%;6;;1;354;257;73%
